+1 1:-0.9157114 2:-3.1704018 3:-1.747489 4:5.49 
+1 1:-1.1528821 2:-1.4723 3:-1.9355826 4:5.49 
+1 1:-1.4330485 2:1.7651293 3:3.0767913 4:5.49 
+1 1:-1.0419164 2:3.3535385 3:0.83541536 4:5.49 
+1 1:-0.03393936 2:-2.6702912 3:-0.4958253 4:5.49 
+1 1:-2.1004171 2:-1.6463745 3:1.5629892 4:5.49 
+1 1:-3.5767813 2:6.396675 3:3.907571 4:5.49 
+1 1:-2.0134265 2:-3.6269832 3:-0.99032354 4:5.49 
+1 1:-3.0479522 2:-3.1781108 3:1.3223214 4:5.49 
+1 1:-1.985156 2:-3.310379 3:-0.14170074 4:5.49 
+1 1:0.5709138 2:6.6742964 3:2.2738867 4:5.49 
+1 1:-2.0767214 2:-4.000908 3:2.062285 4:5.49 
+1 1:-1.1246097 2:-1.6439807 3:2.4902115 4:5.49 
+1 1:-0.6502094 2:-4.809425 3:0.22700548 4:5.49 
+1 1:-1.3368354 2:2.5113807 3:-1.5950522 4:5.49 
+1 1:1.2770524 2:1.3254364 3:-0.9007416 4:5.49 
+1 1:2.6350822 2:0.105047226 3:-0.111810684 4:5.49 
+1 1:0.24347067 2:-0.4448738 3:1.8032784 4:5.49 
+1 1:0.691339 2:1.8305099 3:-0.97979593 4:5.49 
+1 1:0.96685886 2:0.9557204 3:-1.8582416 4:5.49 
+1 1:-0.10561371 2:2.1036325 3:-0.550045 4:5.49 
+1 1:2.8205786 2:-0.83147573 3:0.5013442 4:5.49 
+1 1:0.68734217 2:5.9601073 3:3.701615 4:5.49 
+1 1:-0.7895608 2:1.4158275 3:-0.3347788 4:5.49 
+1 1:2.2029505 2:2.2049024 3:-0.3452897 4:5.49 
+1 1:-3.4088974 2:-1.02216 3:1.7717075 4:5.49 
+1 1:0.09564304 2:1.4145596 3:-0.26567507 4:5.49 
+1 1:2.529933 2:-0.22528648 3:-3.1844897 4:5.49 
+1 1:0.39168787 2:-3.810515 3:-4.0647063 4:5.49 
+1 1:0.98552704 2:-3.177309 3:-2.3698478 4:5.49 
+1 1:-1.186876 2:-0.7792883 3:-3.37252 4:5.49 
+1 1:0.96877337 2:0.95870614 3:-0.27823687 4:5.49 
+1 1:1.9318352 2:-1.3276534 3:-1.316637 4:5.49 
+1 1:-2.127761 2:-2.807074 3:2.296935 4:5.49 
+1 1:-1.7880092 2:-1.649693 3:1.669991 4:5.49 
+1 1:-0.22697163 2:-1.8683143 3:-1.474206 4:5.49 
+1 1:-0.069612026 2:-3.3114052 3:-1.3911171 4:5.49 
+1 1:-2.1273198 2:-2.114224 3:-3.3194633 4:5.49 
+1 1:1.5244012 2:-1.0081534 3:-2.1042848 4:5.49 
+1 1:0.41850138 2:-2.1793623 3:-1.3659973 4:5.49 
+1 1:-3.1610186 2:-3.9679267 3:-1.4343204 4:5.49 
+1 1:-0.6087918 2:-2.3883493 3:-0.64192724 4:5.49 
+1 1:-0.06484032 2:1.475353 3:0.06874657 4:5.49 
+1 1:-3.823114 2:6.4895773 3:4.515085 4:5.49 
+1 1:-0.8959675 2:3.0688176 3:3.4413815 4:5.49 
+1 1:-0.5253453 2:-1.67696 3:-1.365921 4:5.49 
+1 1:0.62974024 2:-2.3846612 3:-2.2448096 4:5.49 
+1 1:-1.2782025 2:-2.0963883 3:-0.43981934 4:5.49 
+1 1:0.45738506 2:0.94054055 3:3.1989856 4:5.49 
+1 1:1.0242691 2:-4.464381 3:-3.2327452 4:5.49 
